0 1 (2) 3 (4) 5
1.00000 0.00000 0.00000 0.00000 0.00000 0.00000
a 0.00000 0.45000 0.05000 0.50000 0.00000 0.00000
a 0.00000 0.45000 0.02500 0.50000 0.00000 0.02500 
a 0.00000 0.45000 0.01250 0.50000 0.00000 0.03750 
b 0.00000 0.45000 0.01250 0.45500 0.04500 0.03750 
b 0.00000 0.45000 0.01250 0.41405 0.08370 0.03975 
b 0.00000 0.45000 0.01250 0.37679 0.11678 0.04394 
b 0.00000 0.45000 0.01250 0.34287 0.14485 0.04977 
b 0.00000 0.45000 0.01250 0.31202 0.16847 0.05702 
b 0.00000 0.45000 0.01250 0.28393 0.18813 0.06544 
b 0.00000 0.45000 0.01250 0.25838 0.20427 0.07485 
b 0.00000 0.45000 0.01250 0.23513 0.21731 0.08506 
b 0.00000 0.45000 0.01250 0.21396 0.22761 0.09593 
b 0.00000 0.45000 0.01250 0.19471 0.23549 0.10731 
b 0.00000 0.45000 0.01250 0.17718 0.24124 0.11908 
b 0.00000 0.45000 0.01250 0.16124 0.24512 0.13114 
b 0.00000 0.45000 0.01250 0.14673 0.24738 0.14340 
b 0.00000 0.45000 0.01250 0.13352 0.24821 0.15577
